恒大雅苑 前面绿地和湖景 看房随时联系 精装修房,恒大雅苑 -宝华商圈,3室2厅 | 122平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,80,"6,558元/平"
位置佳 百米地铁口 采光好无遮挡,碧桂园凤凰城翰林湾 -凤凰城商圈,3室2厅 | 119.39平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,68.5,"5,738元/平"
仙林东  万达茂 碧桂园大学印象精装地暖三房  急卖,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 96.1平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,67,"6,972元/平"
房东换房，诚心出售。有附房，随时看！,福地花园 -句容主城商圈,2室1厅 | 78.05平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,50,"6,407元/平"
楼层好 视野开阔 已经满二 从未入住 小区进出方便,碧桂园凤凰城临湖苑 -凤凰城商圈,3室2厅 | 126.52平米 | 南 北 | 简装 | 中楼层(共30层)  | 塔楼,70,"5,533元/平"
南京仙林湖旁 恒大雅苑 自持物业 二次装修 业主自住,恒大雅苑 -宝华商圈,2室2厅 | 85.23平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,60,"7,040元/平"
四季金辉 一期 精装房 中间楼层采光好拎包入住,四季金辉 -宝华商圈,2室1厅 | 74.26平米 | 北 南 | 精装 | 中楼层(共34层)  | 塔楼,65,"8,754元/平"
濠锋星钻好房急售 带阳台 一次未住 业主急售,濠锋星钻 -宝华商圈,2室2厅 | 90平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,57,"6,334元/平"
万达茂旁 精装修四房 户型方正楼层好小区成熟交通便利,恒大雅苑 -宝华商圈,4室2厅 | 158.18平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,125,"7,903元/平"
此房南北通透满二年，拎包入住，业主自住的保养很好,碧桂园凤凰城水蓝湾 -凤凰城商圈,3室2厅 | 123.32平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,62,"5,028元/平"
悦景台简装2房，总价低，满两年，随时看房。,悦景台 -句容主城商圈,2室2厅 | 87.28平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,55,"6,302元/平"
楼层好 带车位 户型通透  价格可谈,泰达青筑 -宝华商圈,3室2厅 | 133平米 | 南 | 精装 | 13层  | 板楼,90,"6,767元/平"
仙林东恒大雅苑精装三房两卫诚意出售采光好,恒大雅苑 -宝华商圈,3室1厅 | 129.44平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,89,"6,876元/平"
此房满2年，洋房户型通透格局楼层好，视野宽阔采光好,仙林悦城 -宝华商圈,4室2厅 | 149.11平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,90,"6,036元/平"
格局好，楼层好，采光足，视野开阔，朝南,天正理想城 -宝华商圈,3室2厅 | 105.59平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 塔楼,68,"6,441元/平"
四季金辉 精装业主自住保养得当 家具家电齐全 诚心卖,四季金辉 -宝华商圈,3室2厅 | 88.75平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,80,"9,015元/平"
品质小区 无遮挡采光足 南向36平方正院子 户型通透,碧桂园仙林东郡 -宝华商圈,3室2厅 | 106.01平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,78,"7,358元/平"
此房满2年，楼层好视野开阔采光好全无墙布定制柜子,濠锋星钻 -宝华商圈,2室1厅 | 82.53平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,53,"6,422元/平"
四季金辉自住精装3房  小高层 楼层好 采光佳 户型方正,四季金辉 -宝华商圈,3室2厅 | 86.39平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,79.5,"9,203元/平"
此房满两年无增值税！中高楼层 有钥匙随时看房,泰达青筑 -宝华商圈,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,65,"7,304元/平"
精装修 有车位 诚心出售  有车位,碧桂园伯爵山 -宝华商圈,4室2厅 | 148平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,110,"7,433元/平"
满2年 房东急售 精装修 有钥匙,招商国际E城 -宝华商圈,3室2厅 | 91.05平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,80,"8,787元/平"
精装地暖房装修好，楼层全天采光无遮挡含四年物业费,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,86,"7,479元/平"
阳台落地窗，朝南采光视线好，户型方方正正,百里峯景 -宝华商圈,3室2厅 | 124.37平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,97,"7,800元/平"
恒大雅苑 经典三房户型 业主急售 随时看房,恒大雅苑 -宝华商圈,3室2厅 | 147.99平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,93,"6,285元/平"
位置好，交通便利，生活设施齐全，楼层好！,恒大雅苑 -宝华商圈,3室2厅 | 135.87平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,92,"6,772元/平"
格局好，楼层好，采光足，视野开阔，朝南,碧桂园翡翠华府 -宝华商圈,3室1厅 | 115平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,89,"7,740元/平"
精装带地暖 户型方正 采光充足 视野开阔  业主诚售,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115.42平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,87,"7,538元/平"
宝华山旁，朗诗品牌三居室，人车分流小区，绿化多。,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 92平米 | 南 | 毛坯 | 低楼层(共19层)  | 板塔结合,79,"8,587元/平"
京东花园精装4房 房东急售 密码锁随时可看,京东紫晶 -宝华商圈,4室2厅 | 110.68平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,80,"7,229元/平"
招商央企四房边户好楼层 前面无遮挡 价格好谈随时看房,招商国际E城 -宝华商圈,4室2厅 | 133.35平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,88,"6,600元/平"
自住精装  满五唯一  拎包入住,四季金辉 -宝华商圈,3室1厅 | 78.99平米 | 南 西 | 精装 | 低楼层(共34层)  | 塔楼,61,"7,723元/平"
碧桂园大学印象 山景大平层 业主诚售 随时看房,碧桂园大学印象 -宝华商圈,4室1厅 | 174.9平米 | 南 | 毛坯 | 低楼层(共25层)  | 平房,117,"6,690元/平"
房子格局好 楼层好 采光足 朝南面多 户型方正,泰达青筑 -宝华商圈,4室2厅 | 126.02平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,78,"6,190元/平"
房子格局好，主卧朝南，配套设施齐全，交通便利,仙林悦城 -宝华商圈,2室1厅 | 63.54平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,41,"6,453元/平"
楼层好，视野宽阔，采光充足，户型方正,仙林悦城 -宝华商圈,2室1厅 | 64平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,43,"6,719元/平"
业主换房急售，有兴趣的及时联系我，价格可谈,国际花园 -句容主城商圈,3室2厅 | 108.85平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,46,"4,226元/平"
仙林悦城二期 方正边户 采光充足楼层视野好,仙林悦城 -宝华商圈,3室1厅 | 115.45平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,71,"6,150元/平"
房东诚心出售，有车位！诚心出售,碧桂园·江南世家 -句容主城商圈,3室1厅 | 95平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,48,"5,053元/平"
新城雅居 3室1厅 南,新城雅居 -句容主城商圈,3室1厅 | 119.8平米 | 南 | 简装 | 中楼层(共11层)  | 暂无数据,65,"5,426元/平"
房子格局好，户型方正，配套设施齐，交通便利，楼层好,仙林悦城 -宝华商圈,2室2厅 | 64平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,40,"6,250元/平"
户型方正  楼层位置佳  采光辣眼无遮挡,碧桂园凤凰城临湖苑 -凤凰城商圈,3室2厅 | 125平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,72,"5,760元/平"
急售好房，全天采光视野开阔。价格好谈,碧桂园凤凰城临湖苑 -凤凰城商圈,3室2厅 | 125平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,70,"5,600元/平"
南北双阳台 湖景房 楼层好 户型明亮,恒大雅苑 -宝华商圈,3室1厅 | 134.86平米 | 西北 | 精装 | 高楼层(共33层)  | 塔楼,89,"6,600元/平"
大学印象 精装三房 山景房 高楼层视野开阔 未入住,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95.74平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,63,"6,581元/平"
精装大三房带地暖 一线山景房 新房未入住 诚心出售,碧桂园伯爵山 -宝华商圈,3室2厅 | 106平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,79,"7,453元/平"
仙林东万达茂旁   碧桂园伯爵山精装修,碧桂园伯爵山 -宝华商圈,3室1厅 | 125.24平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,86,"6,867元/平"
婚装家具家电齐全 中间楼层 东边户 采光视野好 随时看,仙林悦城 -宝华商圈,4室2厅 | 113平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,84,"7,434元/平"
碧桂园翡翠华府二期 大阳台 家具家电齐全,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 96.52平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,77,"7,978元/平"
四季金辉 3室1厅 南,四季金辉 -宝华商圈,3室1厅 | 85.67平米 | 南 | 其他 | 低楼层(共34层)  | 塔楼,50,"5,837元/平"
小区中间 一期标杆 环境好 大平层 中高楼层 保养好,碧桂园凤凰城·凤仪苑 -凤凰城商圈,4室2厅 | 166平米 | 南 北 | 精装 | 中楼层(共30层)  | 塔楼,78,"4,699元/平"
碧桂园凤凰城芷兰湾 3室1厅 南 北,碧桂园凤凰城芷兰湾 -凤凰城商圈,3室1厅 | 117.16平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,86,"7,341元/平"
碧桂园凤凰城水蓝湾 3室2厅 南 北,碧桂园凤凰城水蓝湾 -凤凰城商圈,3室2厅 | 133.77平米 | 南 北 | 精装 | 低楼层(共29层)  | 塔楼,62,"4,635元/平"
满二 精装修 好楼层 采光好，无遮挡,碧桂园凤凰城凤鸣苑 -凤凰城商圈,4室2厅 | 166平米 | 南 | 简装 | 高楼层(共29层)  | 塔楼,79,"4,760元/平"
户型方正 楼层好 房东诚心出售,天正理想城 -宝华商圈,2室1厅 | 74平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,45,"6,082元/平"
地铁口小三房，精装修交付，采光好,碧桂园凤凰城学林苑 -凤凰城商圈,3室2厅 | 96平米 | 南 北 | 简装 | 中楼层(共24层)  | 塔楼,57,"5,938元/平"
诚心出售，楼栋楼层位置佳，边户，精装修拎包入住,碧桂园凤凰城星悦湾 -凤凰城商圈,3室1厅 | 86.97平米 | 东南 南 | 精装 | 低楼层(共28层)  | 塔楼,50,"5,750元/平"
新上急售大平层 8米宽大阳台 带车位 随时看房,碧桂园翡翠华府二期 -宝华商圈,4室2厅 | 180.46平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,164,"9,088元/平"
精装修拎包入住 总价低户型方正,京东紫晶 -宝华商圈,2室1厅 | 61.93平米 | 西北 | 精装 | 中楼层(共35层)  | 板塔结合,30,"4,845元/平"
此房满二，三房两卫，西边户，能看到湖,碧桂园凤凰城临湖苑 -凤凰城商圈,3室1厅 | 126.37平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,69.7,"5,516元/平"
三室两厅两卫，南北通透，视野开阔。,碧桂园凤凰城水蓝湾 -凤凰城商圈,3室2厅 | 133.74平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,65,"4,861元/平"
国企泰达  精装修3房  没人入住过,泰达青筑 -宝华商圈,3室2厅 | 132.32平米 | 南 | 精装 | 18层  | 板楼,98,"7,407元/平"
苏州园林景观采光好无遮挡大平层好房,碧桂园凤凰城·凤仪苑 -凤凰城商圈,5室2厅 | 268.65平米 | 南 | 毛坯 | 高楼层(共29层)  | 塔楼,130,"4,840元/平"
御东国际六期 三房两厅两卫毛坯 楼层佳视野好随时看房,建中御东国际六期 -句容主城商圈,4室2厅 | 126平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,65,"5,159元/平"
满2年税低 大平层 视野开阔 两梯两户 近地铁 环境好,碧桂园凤凰城柏丽湾 -凤凰城商圈,4室2厅 | 179.64平米 | 南 | 精装 | 31层  | 塔楼,95,"5,289元/平"
精装修双阳台，采光好，视野开阔,云玺苑 -凤凰城商圈,3室2厅 | 107.47平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,58,"5,397元/平"
恒大雅苑 湖景房 楼间距大 准新房 随时看房,恒大雅苑 -宝华商圈,3室1厅 | 121.78平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,86,"7,062元/平"
房子精装修未入住，楼层好采光佳，满二,碧桂园凤凰城星悦湾 -凤凰城商圈,4室2厅 | 121.64平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,65,"5,344元/平"
此房满五唯一！ 地铁口毛坯房 好楼层 采光不遮挡,碧桂园凤凰城·凤仪苑 -凤凰城商圈,3室2厅 | 137.07平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 塔楼,55.9,"4,079元/平"
户型方正 采光好 楼层好交通便利小区环境好,四季金辉 -宝华商圈,2室2厅 | 74平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,50,"6,757元/平"
十五---南京城东，三开间朝南，南北双阳台！三房两厅,碧桂园凤凰城临湖苑 -凤凰城商圈,3室2厅 | 126.37平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,72,"5,698元/平"
交通方便视野开阔前后无遮挡采光十足,碧桂园凤凰城·凤仪苑 -凤凰城商圈,3室2厅 | 136.88平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,56,"4,092元/平"
南京仙林东宝华碧桂园仙林东郡急售 精装两房,碧桂园仙林东郡 -宝华商圈,2室1厅 | 84平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,48,"5,715元/平"
边户 三房两卫精装修 房东急售 价额可谈,香山壹境 -宝华商圈,3室1厅 | 107平米 | 南 西南 | 精装 | 低楼层(共33层)  | 板楼,65,"6,075元/平"
逸品汤山三期 总高6层电梯洋房 视野开阔 采光充足,逸品汤山三期 -凤凰城商圈,3室2厅 | 124.36平米 | 南 | 毛坯 | 低楼层(共6层)  | 塔楼,54,"4,343元/平"
国企泰达 三室精装 随时看房 户型方正,泰达青筑 -宝华商圈,3室1厅 | 88.78平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,60,"6,759元/平"
此房业主婚房装修，满二，自带公园的小区，诚心出售,碧桂园凤凰城凤雅苑 -凤凰城商圈,3室2厅 | 141.29平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,69,"4,884元/平"
采光足，视野开阔， 户型方正，精装加地暖，配套成熟,濠锋星钻 -宝华商圈,2室2厅 | 82平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,50,"6,098元/平"
房主急售 全天未住 价格可以谈 户型方正,碧桂园凤凰城芷兰湾 -凤凰城商圈,3室1厅 | 100.87平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,46,"4,561元/平"
恒大雅苑 户型方正 一家三口居住的选择,恒大雅苑 -宝华商圈,2室1厅 | 89.27平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,66,"7,394元/平"
配套设施齐全，交通便利，采光足，视野开阔,宝华花园 -宝华商圈,2室1厅 | 58平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,22,"3,794元/平"
地铁口现房 精装三室 满五年 总价低 配套全 视野开阔,碧桂园凤凰城凤鸣苑 -凤凰城商圈,3室2厅 | 112.44平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,54,"4,803元/平"
带车位 开发商装修三房 地铁口中间楼层,碧桂园凤凰城柏丽湾 -凤凰城商圈,3室2厅 | 133.84平米 | 南 | 简装 | 中楼层(共32层)  | 塔楼,71,"5,305元/平"
碧桂园凤凰城云玺苑精装3房2卫满2年含车位,云玺苑 -凤凰城商圈,3室2厅 | 130.2平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,70,"5,377元/平"
S6轻轨口 碧桂园凤凰城  有70平大阳台  随时看房,碧桂园凤凰城凤鸣苑 -凤凰城商圈,4室2厅 | 269.46平米 | 南 北 | 精装 | 高楼层(共29层)  | 塔楼,145,"5,382元/平"
格局好，楼层好，采光足，视野开阔，朝南,泰达青筑 -宝华商圈,3室2厅 | 93.5平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,70,"7,487元/平"
精装修两房 随时看房 采光好视野好 仙林悦城,仙林悦城 -宝华商圈,2室2厅 | 64.93平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,47,"7,239元/平"
仙林悦城 满两年 边户通透 诚心出售换房 随时看房,仙林悦城 -宝华商圈,3室2厅 | 113.04平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,68.88,"6,094元/平"
碧桂园翡翠华府 二次精装修拎包入住  随时看房,碧桂园翡翠华府 -宝华商圈,3室1厅 | 115.36平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,103,"8,929元/平"
配套好 小区绿化好 治安管理好  交通便利,天正理想城 -宝华商圈,2室2厅 | 74平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,45,"6,082元/平"
翰林湾大三房  户型通风佳 近地铁 商场  环境优美,碧桂园凤凰城翰林湾 -凤凰城商圈,3室2厅 | 122.54平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,61.8,"5,044元/平"
华府二期 南北大阳台，满2年 没有贷款 业主诚心出售,碧桂园翡翠华府二期 -宝华商圈,4室2厅 | 143.04平米 | 南 | 精装 | 中楼层(共20层)  | 塔楼,140,"9,788元/平"
香山壹境30万精装修 拎包入住 急卖 满2年边户山景房,香山壹境 -宝华商圈,3室2厅 | 106.67平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,63,"5,907元/平"
花园洋房，小区位置好，业主诚心出售，价格可谈,碧桂园中天东方骏庭 -宝华商圈,3室2厅 | 113.05平米 | 南 | 精装 | 7层  | 板楼,112,"9,908元/平"
满两年没有贷款  看房方便 价格可谈···,四季金辉 -宝华商圈,2室2厅 | 68.25平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,50,"7,327元/平"
宝华山下8层洋房  边户采光好 小区低密度,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 87.98平米 | 南 | 毛坯 | 中楼层(共8层)  | 板塔结合,78,"8,866元/平"
南京仙林东 恒大雅苑湖景房 四房改善随时可看,恒大雅苑 -宝华商圈,4室2厅 | 164.15平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,108,"6,580元/平"
仙林招商央企开发商万达茂旁近南京地铁,招商国际E城 -宝华商圈,4室2厅 | 133.35平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 塔楼,93,"6,975元/平"
大品牌，交通方便，生活便利，配套完善，空气好,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,85,"7,392元/平"
四季金辉  纯毛坯3房 三开间朝南 户型方正,四季金辉 -宝华商圈,3室2厅 | 89.25平米 | 南 | 毛坯 | 低楼层(共34层)  | 塔楼,64,"7,171元/平"
小区环境优美内有人工湖出行便利近商场户型方正,碧桂园凤凰城柏丽湾 -凤凰城商圈,3室2厅 | 90.54平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,52,"5,744元/平"
碧桂园大学印象山景 四室精装带地暖南北双阳台,碧桂园大学印象峰景苑 -宝华商圈,4室1厅 | 139.49平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,99,"7,098元/平"
业主诚意出售楼层佳，采光通风好随时看房,維也納花園 -句容主城商圈,2室2厅 | 91.31平米 | 东南 | 毛坯 | 高楼层(共22层)  | 板塔结合,62,"6,791元/平"
采光好，通风好，日照充足，交通便利，生活配套齐全,碧桂园凤凰城柏丽湾 -凤凰城商圈,3室1厅 | 115.86平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,59.8,"5,162元/平"
楼层好，采光足，东边户，大三房双卫,碧桂园凤凰城临湖苑 -凤凰城商圈,3室1厅 | 126.74平米 | 南 | 简装 | 中楼层(共26层)  | 塔楼,68,"5,366元/平"
凤鸣苑三房诚心出售，宽敞明亮，整洁干净,碧桂园凤凰城凤鸣苑 -凤凰城商圈,3室1厅 | 115.43平米 | 南 北 | 简装 | 高楼层(共23层)  | 塔楼,47,"4,072元/平"
"房子位置好 视野佳 小区位置好,近地铁三房五开间朝南",碧桂园凤凰城临湖苑 -凤凰城商圈,3室2厅 | 101平米 | 南 北 | 精装 | 中楼层(共30层)  | 塔楼,52,"5,149元/平"
碧桂园凤凰城 芷兰湾 好房推荐,碧桂园凤凰城芷兰湾 -凤凰城商圈,4室2厅 | 137.54平米 | 南 北 | 精装 | 低楼层(共31层)  | 塔楼,65,"4,726元/平"
低总价三房，苏州园林小区，生活便利、交通方便,碧桂园凤凰城·凤仪苑 -凤凰城商圈,3室2厅 | 112.38平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 塔楼,44,"3,916元/平"
小区前排，采光足，视野好， 户型方正，购物方便,濠锋星钻 -宝华商圈,2室1厅 | 82.47平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,50,"6,063元/平"
仙林东 宝华镇 海伦堡小区  业主包税,海伦堡云麓小院 -宝华商圈,3室2厅 | 118平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,81,"6,865元/平"
双地铁口 业主诚心出售 前后无遮挡,彩虹城 -宝华商圈,3室2厅 | 86平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,62,"7,210元/平"
此房是金装带地暖空房  全新未入住  位置好,濠锋星钻 -宝华商圈,2室2厅 | 82平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,57,"6,952元/平"
好房推荐房东急卖。。。。。。。。。。。,恒大雅苑 -宝华商圈,3室2厅 | 148平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,83,"5,609元/平"
四季金辉纯边户 中间楼层南边无遮挡 品质物业,四季金辉 -宝华商圈,4室1厅 | 114.39平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,79,"6,907元/平"
南京城东 碧桂园凤凰城大三房 满两年地铁口,碧桂园凤凰城凤雅苑 -凤凰城商圈,3室2厅 | 137平米 | 南 | 毛坯 | 中楼层(共29层)  | 塔楼,60,"4,380元/平"
恒大雅苑 精装大三房 房东换房 诚心出售,恒大雅苑 -宝华商圈,3室2厅 | 130.47平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,84.9,"6,508元/平"
学林苑三房 采光好 无遮挡  近地铁口 小区口生活方便,碧桂园凤凰城学林苑 -凤凰城商圈,3室2厅 | 96.33平米 | 东南 | 精装 | 高楼层(共24层)  | 塔楼,62,"6,437元/平"
学林苑三房 采光好 无遮挡 近地铁口 小区口生活方便,碧桂园凤凰城学林苑 -凤凰城商圈,3室2厅 | 96.29平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,56.8,"5,899元/平"
房子满2年，开发商精装，中间楼层，国企物业,泰达青筑 -宝华商圈,4室2厅 | 145.36平米 | 西 | 精装 | 24层  | 板楼,94,"6,467元/平"
南京仙林东万达茂旁双地铁同城世家电梯洋房诚心出售,同城世家 -宝华商圈,3室2厅 | 116平米 | 南 | 毛坯 | 10层  | 板楼,96,"8,276元/平"
北部新城三房二卫精装修房东诚心出售,北部新城西区 -句容主城商圈,3室2厅 | 137.48平米 | 南 北 | 精装 | 低楼层(共32层)  | 暂无数据,68.8,"5,005元/平"
泰禾金尊府全新未入住 洋房诚心出售 楼层好采光好,泰禾金尊府 -宝华商圈,4室2厅 | 145平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,130,"8,966元/平"
地铁口精装三房两卫，交通便利，房东诚信出售,云玺苑 -凤凰城商圈,3室2厅 | 133.45平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,69,"5,171元/平"
自住装修电梯入户 有车位纯边户 带菜地 急售随时看房,碧桂园翡翠华府二期 -宝华商圈,4室2厅 | 142平米 | 南 | 精装 | 高楼层(共17层)  | 塔楼,140,"9,860元/平"
此房户型方正 户型好全南户型 大三房采光辣眼,碧桂园凤凰城翰林湾 -凤凰城商圈,3室2厅 | 92平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,50,"5,435元/平"
碧桂园凤凰城临湖苑101平3房2厅1厨房1卫生间拎包入住,碧桂园凤凰城临湖苑 -凤凰城商圈,3室1厅 | 101平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,58,"5,743元/平"
碧桂园凤凰城临湖苑三房急售看房方便 湖景房,碧桂园凤凰城临湖苑 -凤凰城商圈,3室2厅 | 126平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,69,"5,477元/平"
