采光充足，交通便利，天鸿苑不临高速，有钥匙随时看房,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 132.2平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,73,"5,522元/平"
此房子是满五不唯一的房子，随时可以看房，,金东城世家西园二期 -溧水城北,4室2厅 | 97.84平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,85,"8,688元/平"
卧龙湖小镇电梯小洋房带有产权车位,卧龙湖 -溧水其它,3室2厅 | 147.55平米 | 南 | 毛坯 | 低楼层(共4层)  | 板楼,119,"8,066元/平"
满二毛坯，楼层好，采光好，业主诚心出售,凤麟府 -溧水城南,4室2厅 | 144平米 | 南 东 | 毛坯 | 中楼层(共18层)  | 塔楼,175,"12,153元/平"
近地铁，毛坯，位置好，小区车位多，好楼层价格便宜,秦淮东郡 -溧水城中,3室2厅 | 125.9平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,109,"8,658元/平"
带阁楼，户型方正，南北格局，采光好， 满五唯一,水岸康城 -溧水城南,3室2厅 | 106.2平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 板楼,95,"8,946元/平"
溧水城中多层好房，好楼层，配套齐全,县前新村 -溧水城中,2室1厅 | 80平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,68,"8,500元/平"
房子紧靠省溧中，交通方便，户型方正,荣昌花园 -溧水城南,3室2厅 | 133.46平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,150,"11,240元/平"
房子楼层高，采光好，开发商精装未住人,万科城棕榈苑 -溧水城南,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,128,"11,131元/平"
南朝湖，采光好，环境优美，花园式小区。,卧龙湖 -溧水其它,3室2厅 | 144.88平米 | 南 北 | 毛坯 | 高楼层(共4层)  | 板楼,108,"7,455元/平"
此房户型好，南北朝向，两个房间朝南,天胜花苑 -溧水城中,3室2厅 | 165.19平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,132,"7,991元/平"
琴韵华庭 3室3厅 南,琴韵华庭 -溧水城北,3室3厅 | 136.78平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,98,"7,165元/平"
秦淮东郡126平米好房房东诚心出售,秦淮东郡 -溧水城中,3室2厅 | 125.9平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,140,"11,120元/平"
此房楼层好 通风效果好 户型方正 采光充足 随时看,金东城世家一期 -溧水城北,3室2厅 | 119.75平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,120,"10,021元/平"
金东城世家西园二期 3室2厅 南 北,金东城世家西园二期 -溧水城北,3室2厅 | 113.29平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,95,"8,386元/平"
创维乐活城 户型方正 游小金中 精装修 拎包入住,创维乐活城 -溧水城北,3室1厅 | 93.52平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,80,"8,555元/平"
荣昌花园 3室2厅 南,荣昌花园 -溧水城南,3室2厅 | 108.23平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,95,"8,778元/平"
得房率较高，适合老人小孩居住。交通便利.,亚东同城逸境 -溧水城北,2室1厅 | 88.66平米 | 南 北 | 其他 | 高楼层(共18层)  | 塔楼,106.6,"12,024元/平"
临S7 亚东同城逸境 精装满两年 低楼层 大3房,亚东同城逸境 -溧水城北,3室2厅 | 106.31平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,113,"10,630元/平"
精装三房，未入住过，紧靠万达广场和地铁站,溧水万达御景仕家一期 -溧水城南,3室2厅 | 105.8平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,127.5,"12,052元/平"
毛坯 东边户 好楼层  满3年  随时看房子,爱涛天岳城 -溧水城南,3室2厅 | 115.14平米 | 南 | 其他 | 高楼层(共25层)  | 塔楼,135,"11,725元/平"
此房是开发商精装交付，三开间朝南，小区绿化好,溧水万达御景仕家一期 -溧水城南,3室2厅 | 105平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,140,"13,334元/平"
凤麟水苑 环境好 满两年 近省溧中 人民医院 体育公园,凤麟水苑 -溧水城南,2室2厅 | 90.89平米 | 南 | 其他 | 高楼层(共26层)  | 塔楼,91,"10,013元/平"
